 % 1. Title: TestWeka1
   % 
   % 2. Sources:
   %      (a) Creator: ZahraFardhosseini,Marc Niedermeier
   %      (c) Date: Jan, 2016
   % 
   @RELATION TestKnock-Pulse

   @ATTRIBUTE peakDuration NUMERIC
   @ATTRIBUTE peakIntegral NUMERIC
   @ATTRIBUTE peakMaximum NUMERIC
   @ATTRIBUTE Label   {0,1,2}
   @Data
0.18576,-1.4335e+005,-1.4243e+004,1
0.18576,-1.4256e+005,-1.2416e+004,1
0.34830,-2.6930e+005,-1.1240e+004,1
0.023220, -1.3718e+004,-1.3718e+004,1
0.13932,  -1.0334e+005, -1.3040e+004,1
0.023220,  -1.7269e+004, -1.7269e+004,1
0.13932,  -1.1041e+005, -1.7015e+004,1
0.046440,  -2.9790e+004, -1.2096e+004,1
0.069660,  -5.1361e+004, -1.6232e+004,1
0.046440,  -2.9637e+004, -1.4407e+004,1
0.16254,  -1.3016e+005, -1.6024e+004,0
0.16254,  -1.2602e+005, -1.4929e+004,0
0.069660,  -5.2282e+004, -1.5774e+004,0
0.046440,  -3.0250e+004, -1.4121e+004,0
0.046440,  -3.3919e+004, -1.4280e+004,0
0.023220,  -1.8661e+004, -1.8661e+004,0
0, 0, -2.0351e+004,0
0.046440,  -3.7353e+004, -1.8344e+004,0
0.023220,  -1.8686e+004, -1.8686e+004,0
0.069660,  -5.4752e+004, -1.7651e+004,0
2.9722,-2.3649e+006,-1.6397e+004,2
2.0434, -1.7043e+006,-1.8319e+004,2
4.0403,-3.3103e+006,-1.7201e+004,2
3.6223,-2.9554e+006,-1.2761e+004,2
1.9505,-1.5723e+006,-1.3819e+004,2
0.71982,-5.4952e+005,  -1.6313e+004,2
1.1146, -9.0215e+005,-1.7179e+004,2
0.83592, -7.0605e+005,-1.8990e+004,2
0.67338,-5.6963e+005,-1.8687e+004,2
0.046440,-3.9201e+004,-1.9330e+004,2
0.04643990929705133,-812431.4073521737,-143807.44680008903,1
0.04643990929704955,-831881.8949570145,-155996.04491678913,1
0.04643990929704955,-593110.6017418294,-148942.45220773615,1
0.04643990929704955,-810942.0604252397,-161143.60269992315,1
0.04643990929704955,-823481.0789463987,-156461.72414777888,1
0.04643990929704955,-802875.6412864013,-136099.01211639403,0
0.04643990929705222,-803422.0123233042,-134560.242376015,0
0.0928798185940991,-565934.1606281071,-137584.7058638118,0
0.04643990929704955,-800265.4970765153,-141745.9159488257,0
0.04643990929704955,-804450.7686003167,-143136.76731548927,0
0.046439909297077975,-799025.2673311193,-136491.89829913995,2
0.09287981859415595,-1018214.468932298,-163144.91071750261,2
0.09287981859410621,-559533.7928742021,-156107.26075681287,2
0.046439909297053106,-846051.3379216181,-161081.5759899137,2
0.1857596371881982,-1389214.9810160438,-145862.7094557956,2

