 % 1. Title: LearnWeka2
   % 
   % 2. Sources:
   %      (a) Creator: ZahraFardhosseini,Marc Niedermeier
   %      (c) Date: Jan, 2016
   % 
   @RELATION LearnKnock-Pulse

   @ATTRIBUTE peakDuration NUMERIC
   @ATTRIBUTE peakIntegral NUMERIC
   @ATTRIBUTE peakMaximum NUMERIC
   @ATTRIBUTE Label   {0,1,2}
@Data
0.16254, -1.1941e+005, -1.2358e+004, 1
0.092880, -6.2548e+004, -1.1562e+004,1
0.13932, -9.6407e+004, -1.2126e+004,1
0.069660, -4.5434e+004,-1.2693e+004,1
0.13932, -1.0121e+005, -1.0952e+004,1
0.13932, -1.0191e+005, -1.3133e+004, 1
0.092880, -6.2996e+004, -1.2393e+004,1
0.11610, -8.4687e+004, -1.2977e+004,1
0.11610, -8.0825e+004,  -1.3102e+004,1
0.16254, -1.2011e+005,  -1.0685e+004,1
0.76626,-6.0102e+005,  -1.5228e+004,0
0, 0,  -2.1011e+004,0
0.046440,-3.8837e+004,  -1.8856e+004,0
0.069660,-4.6796e+004,  -1.4503e+004,0
0.023220,-1.9354e+004,  -1.9354e+004,0
0.23220,-1.7056e+005,  -1.5072e+004,0
0.092880,-7.5441e+004,  -1.7124e+004,0
5.2013,-4.2022e+006, -1.7081e+004,2
1.1378,-9.4355e+005,-1.8452e+004,2
2.5310,-2.0860e+006,-1.3381e+004,2
3.1115,-2.4883e+006,-1.3284e+004,2
1.8576,-1.5181e+006,-1.5989e+004,2
0.27864,-2.2333e+005, -1.6012e+004,2
0.41796,-3.4197e+005,-1.4867e+004,2
0.48762,-4.1055e+005,-1.8897e+004,2
1.0681, -8.9641e+005,-1.8545e+004,2
0,0,-2.0010e+004,2
0.04643990929704955,-575744.8525485453,-145018.25966818703,1
0.04643990929704955,-810904.107013219,-144288.46285644887,1
0.0928798185940991,-1011236.7578409927,-137719.37330438037,1
0.04643990929704955,-814266.3558799917,-149296.51200752598,1
0.0928798185940991,-1009394.3933872714,-140315.61710233227,1
0.046439909297053106,-595617.1349590988,-158567.38965387753,0
0.04643990929704955,-560621.5446155987,-138192.34004589915,0
0.04643990929704955,-590952.2475566868,-151692.28753638826,0
0.04643990929704955,-827877.9002929947,-163672.98070195274,0
0.04643990929704955,-598498.4298034147,-166953.27922110725,0
0.1857596371881982,-1381588.3382162994,-136937.1989204892,2
0.09287981859410444,-1041426.5634495039,-156313.05046721172,2
0.0928798185940991,-1023988.3053881158,-135261.86794801732,2
0.09287981859415595,-978585.1011490936,-136866.53248438984,2
0.09287981859415595,-162555.13510788852,-559542.9936705811,2


