 % 1. Title: TestWeka1
   % 
   % 2. Sources:
   %      (a) Creator: ZahraFardhosseini,Marc Niedermeier
   %      (c) Date: Jan, 2016
   % 
   @RELATION TestKnock-Pulse

   @ATTRIBUTE peakDuration NUMERIC
   @ATTRIBUTE peakIntegral NUMERIC
   @ATTRIBUTE peakMaximum NUMERIC
   @ATTRIBUTE Label   {0,1,2}
   @Data
0.18576,-1.4335e+005,-1.4243e+004,1
0.18576,-1.4256e+005,-1.2416e+004,1
0.34830,-2.6930e+005,-1.1240e+004,1
0.023220, -1.3718e+004,-1.3718e+004,1
0.13932,  -1.0334e+005, -1.3040e+004,1
0.023220,  -1.7269e+004, -1.7269e+004,1
0.13932,  -1.1041e+005, -1.7015e+004,1
0.046440,  -2.9790e+004, -1.2096e+004,1
0.069660,  -5.1361e+004, -1.6232e+004,1
0.046440,  -2.9637e+004, -1.4407e+004,1
0.16254,  -1.3016e+005, -1.6024e+004,0
0.16254,  -1.2602e+005, -1.4929e+004,0
0.069660,  -5.2282e+004, -1.5774e+004,0
0.046440,  -3.0250e+004, -1.4121e+004,0
0.046440,  -3.3919e+004, -1.4280e+004,0
0.023220,  -1.8661e+004, -1.8661e+004,0
0, 0, -2.0351e+004,0
0.046440,  -3.7353e+004, -1.8344e+004,0
0.023220,  -1.8686e+004, -1.8686e+004,0
0.069660,  -5.4752e+004, -1.7651e+004,0
2.9722,-2.3649e+006,-1.6397e+004,2
2.0434, -1.7043e+006,-1.8319e+004,2
4.0403,-3.3103e+006,-1.7201e+004,2
3.6223,-2.9554e+006,-1.2761e+004,2
1.9505,-1.5723e+006,-1.3819e+004,2
0.71982,-5.4952e+005,  -1.6313e+004,2
1.1146, -9.0215e+005,-1.7179e+004,2
0.83592, -7.0605e+005,-1.8990e+004,2
0.67338,-5.6963e+005,-1.8687e+004,2
0.046440,-3.9201e+004,-1.9330e+004,2
0.92880,-7.1988e+005-1.1536e+004,2
0.55728,-4.1013e+005-1.0186e+004,2
1.6951,-1.3069e+006,-1.1494e+004,2
0.34830,-2.4759e+005,-1.0910e+004,2
0.27864,-1.9960e+005-1.1382e+004,2

