 % 1. Title: LearnWeka2
   % 
   % 2. Sources:
   %      (a) Creator: ZahraFardhosseini,Marc Niedermeier
   %      (c) Date: Jan, 2016
   % 
   @RELATION LearnKnock-Pulse

   @ATTRIBUTE peakDuration NUMERIC
   @ATTRIBUTE peakIntegral NUMERIC
   @ATTRIBUTE peakMaximum NUMERIC
   @ATTRIBUTE Label   {0,1,2}
@Data
0.16254, -1.1941e+005, -1.2358e+004, 1
0.092880, -6.2548e+004, -1.1562e+004,1
0.13932, -9.6407e+004, -1.2126e+004,1
0.069660, -4.5434e+004,-1.2693e+004,1
0.13932, -1.0121e+005, -1.0952e+004,1
0.13932, -1.0191e+005, -1.3133e+004, 1
0.092880, -6.2996e+004, -1.2393e+004,1
0.11610, -8.4687e+004, -1.2977e+004,1
0.11610, -8.0825e+004,  -1.3102e+004,1
0.16254, -1.2011e+005,  -1.0685e+004,1
0.76626,-6.0102e+005,  -1.5228e+004,0
0, 0,  -2.1011e+004,0
0.046440,-3.8837e+004,  -1.8856e+004,0
0.069660,-4.6796e+004,  -1.4503e+004,0
0.023220,-1.9354e+004,  -1.9354e+004,0
0.23220,-1.7056e+005,  -1.5072e+004,0
0.092880,-7.5441e+004,  -1.7124e+004,0
5.2013,-4.2022e+006, -1.7081e+004,2
1.1378,-9.4355e+005,-1.8452e+004,2
2.5310,-2.0860e+006,-1.3381e+004,2
3.1115,-2.4883e+006,-1.3284e+004,2
1.8576,-1.5181e+006,-1.5989e+004,2
0.27864,-2.2333e+005, -1.6012e+004,2
0.41796,-3.4197e+005,-1.4867e+004,2
0.48762,-4.1055e+005,-1.8897e+004,2
1.0681, -8.9641e+005,-1.8545e+004,2
0,0,-2.0010e+004,2
0.32508,-2.1265e+005,-9499.9,2
0.46440,-3.2344e+005,-1.0927e+004,2
0.48762, -3.3481e+005, -1.0961e+004,2
0.46440,-3.2744e+005, -1.0911e+004,2
2.9722, -2.3148e+006, -1.1974e+004,2


